股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300929,N华骐,47.59,33.72,243.11,243.11,14257828,680037504.4,79.51,52.519,,3930129634
SZ300935,N盈建科,164.5,107.54,188.8,188.8,9290743,1393387332.14,65.75,157.619,0,9295072500
SH605228,N神通,8.48,2.59,43.97,43.97,679153,5750757,0.85,31.879,,3561600000
SZ300641,正丹股份,7.66,1.28,20.06,44.26,81194173,567963737.16,16.58,124.518,0.261,3750336000
SZ300169,天晟新材,7.54,1.26,20.06,18.18,37631297,269888986.12,14.33,,0,2457921924
SZ300742,越博动力,25.66,4.28,20.02,6.74,5299931,131451724.21,12.29,,0,2014273306
SZ300595,欧普康视,104.14,17.36,20,27.12,8210283,839361674.51,1.88,178.269,0.064,63291805649
SZ300507,苏奥传感,12.01,2,19.98,9.18,11366535,132292556.66,6,37.526,0.598,3678299241
SZ300337,银邦股份,5.83,0.97,19.96,11.26,83069441,465791907.23,11.73,55.928,0.172,4791793600
SH688339,亿华通-U,269.9,40.07,17.43,-0.89,1346285,343135880,8.8,,,19027950000
SZ300769,德方纳米,157,21.7,16.04,-6.1,4634985,716410432.49,10.84,563.308,0,14071077586
SZ300415,伊之密,16.02,2.12,15.25,19.64,35060124,545995035.66,8.63,30.141,0.619,6978312000
SZ300374,中铁装配,13.97,1.84,15.17,17.49,12261827,162779113.68,7.22,58.511,0.215,3435395348
SH688036,传音控股,177,21.88,14.11,16.34,4745030,800623609,1.22,57.875,,141600000000
SZ300014,亿纬锂能,104.23,12.73,13.91,27.89,42364081,4280624911.25,2.38,150.354,0.084,196876443665
SZ300803,指南针,36.5,4.36,13.57,11.96,23224906,823026547.56,10.29,190.075,0.274,14782499964
SH688179,阿拉丁,79.2,9.34,13.37,-0.75,1574396,119225070,6.86,117.002,,7993925280
SZ300740,御家汇,23.27,2.6,12.58,28.56,22915140,520171822.11,10.33,103.976,0,9565377300
SZ300759,康龙化成,140.65,15.25,12.16,16.82,8177405,1140830720.12,2.89,110.86,0.107,111730596530
SH688202,美迪西,259.13,27.6,11.92,64.81,1106517,278439164,4.25,169.772,,16066060000
SZ300601,康泰生物,156.47,16.46,11.76,-10.33,10037736,1499955176.63,2.05,185.74,0.188,107170548344
